# color images
# file: 'rgbd_dataset_freiburg2_360_kidnap.bag'
# timestamp filename
1311875132.418527 rgb/1311875132.418527.png
1311875132.450618 rgb/1311875132.450618.png
1311875132.482512 rgb/1311875132.482512.png
1311875132.518482 rgb/1311875132.518482.png
1311875132.550505 rgb/1311875132.550505.png
1311875132.582488 rgb/1311875132.582488.png
1311875132.618479 rgb/1311875132.618479.png
1311875132.650579 rgb/1311875132.650579.png
1311875132.682719 rgb/1311875132.682719.png
1311875132.718627 rgb/1311875132.718627.png
1311875132.750474 rgb/1311875132.750474.png
1311875132.782542 rgb/1311875132.782542.png
1311875132.818267 rgb/1311875132.818267.png
1311875132.850457 rgb/1311875132.850457.png
1311875132.882583 rgb/1311875132.882583.png
1311875132.918498 rgb/1311875132.918498.png
1311875132.950450 rgb/1311875132.950450.png
1311875132.982561 rgb/1311875132.982561.png
1311875133.018437 rgb/1311875133.018437.png
1311875133.050490 rgb/1311875133.050490.png
1311875133.082343 rgb/1311875133.082343.png
1311875133.118496 rgb/1311875133.118496.png
1311875133.150447 rgb/1311875133.150447.png
1311875133.182469 rgb/1311875133.182469.png
1311875133.218663 rgb/1311875133.218663.png
1311875133.250446 rgb/1311875133.250446.png
1311875133.282483 rgb/1311875133.282483.png
1311875133.318706 rgb/1311875133.318706.png
1311875133.350448 rgb/1311875133.350448.png
1311875133.382492 rgb/1311875133.382492.png
1311875133.418493 rgb/1311875133.418493.png
1311875133.450488 rgb/1311875133.450488.png
1311875133.482406 rgb/1311875133.482406.png
1311875133.518368 rgb/1311875133.518368.png
1311875133.550474 rgb/1311875133.550474.png
1311875133.582412 rgb/1311875133.582412.png
1311875133.618586 rgb/1311875133.618586.png
1311875133.650652 rgb/1311875133.650652.png
1311875133.682444 rgb/1311875133.682444.png
1311875133.718573 rgb/1311875133.718573.png
1311875133.750482 rgb/1311875133.750482.png
1311875133.782382 rgb/1311875133.782382.png
1311875133.818738 rgb/1311875133.818738.png
1311875133.850355 rgb/1311875133.850355.png
1311875133.882529 rgb/1311875133.882529.png
1311875133.918460 rgb/1311875133.918460.png
1311875133.950442 rgb/1311875133.950442.png
1311875133.982421 rgb/1311875133.982421.png
1311875134.018901 rgb/1311875134.018901.png
1311875134.050383 rgb/1311875134.050383.png
1311875134.082600 rgb/1311875134.082600.png
1311875134.118692 rgb/1311875134.118692.png
1311875134.150401 rgb/1311875134.150401.png
1311875134.182568 rgb/1311875134.182568.png
1311875134.218413 rgb/1311875134.218413.png
1311875134.250420 rgb/1311875134.250420.png
